date,redd_id,reach,fish_on_redd,age,run,redd_measured,redd_width,redd_length,pre_redd_depth,redd_pit_depth,redd_tail_depth,redd_substrate_class,tail_substrate_class,pre_redd_substrate_class,velocity
2022-10-13,2022-10-13_R4_R_31,R4,TRUE,2,spring,NA,NA,NA,NA,NA,NA,very coarse sand,very coarse sand,coarse sand,NA
2022-11-04,2022-10-13_R4_R_31,R4,TRUE,5,spring,NA,NA,NA,NA,NA,NA,very coarse sand,very coarse sand,coarse sand,NA
2022-10-13,2022-10-13_R4_R_32,R4,FALSE,2,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,very coarse sand,NA
2022-11-04,2022-10-13_R4_R_32,R4,FALSE,5,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,very coarse sand,NA
2022-10-13,2022-10-13_R4_R_33,R4,FALSE,2,spring,TRUE,86,172,18,21,NA,very fine gravel,very fine gravel,very fine gravel,NA
2022-11-04,2022-10-13_R4_R_33,R4,FALSE,3,spring,TRUE,86,172,18,21,NA,very fine gravel,very fine gravel,very fine gravel,NA
2022-10-13,2022-10-13_R4_R_34,R4,FALSE,2,spring,NA,NA,NA,NA,NA,NA,very coarse sand,very fine gravel,very coarse sand,NA
2022-11-04,2022-10-13_R4_R_34,R4,FALSE,3,spring,NA,NA,NA,NA,NA,NA,very coarse sand,very fine gravel,very coarse sand,NA
2022-10-13,2022-10-13_R4_R_35,R4,FALSE,2,spring,NA,NA,NA,NA,NA,NA,very coarse sand,very coarse sand,very coarse sand,NA
2022-11-04,2022-10-13_R4_R_35,R4,FALSE,3,spring,NA,NA,NA,NA,NA,NA,very coarse sand,very coarse sand,very coarse sand,NA
2022-10-13,2022-10-13_R4_R_36,R4,TRUE,2,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,very coarse sand,NA
2022-11-04,2022-10-13_R4_R_36,R4,TRUE,3,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,very coarse sand,NA
2022-10-13,2022-10-13_R4_R_37,R4,FALSE,2,spring,TRUE,115,195,20,24,NA,coarse sand,very coarse sand,very fine gravel,NA
2022-11-04,2022-10-13_R4_R_37,R4,FALSE,3,spring,TRUE,115,195,20,24,NA,coarse sand,very coarse sand,very fine gravel,NA
2022-10-11,2022-10-11_R1B_R_38,R1B,FALSE,2,spring,TRUE,82,206,12,20,NA,very fine gravel,very fine gravel,fine sand,NA
2022-10-31,2022-10-11_R1B_R_38,R1B,FALSE,3,spring,TRUE,82,206,12,20,NA,very fine gravel,very fine gravel,fine sand,NA
2022-10-11,2022-10-11_R1B_R_39,R1B,FALSE,2,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very coarse sand,very fine gravel,NA
2022-10-31,2022-10-11_R1B_R_39,R1B,FALSE,3,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very coarse sand,very fine gravel,NA
2022-10-11,2022-10-11_R2_R_40,R2,FALSE,2,spring,TRUE,206,253,28,25,NA,NA,very fine gravel,very coarse sand,NA
2022-11-03,2022-10-11_R2_R_40,R2,FALSE,3,spring,TRUE,206,253,28,25,NA,NA,very fine gravel,very coarse sand,NA
2022-10-11,2022-10-11_R2_R_41,R2,FALSE,2,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,very fine gravel,NA
2022-11-03,2022-10-11_R2_R_41,R2,FALSE,3,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,very fine gravel,NA
2022-10-11,2022-10-11_R2_R_42,R2,FALSE,2,spring,NA,NA,NA,NA,NA,NA,NA,very coarse sand,NA,NA
2022-11-03,2022-10-11_R2_R_42,R2,FALSE,3,spring,NA,NA,NA,NA,NA,NA,NA,very coarse sand,NA,NA
2022-10-11,2022-10-11_R2_R_43,R2,FALSE,2,spring,TRUE,98,185,23,29,NA,fine sand,fine sand,very fine gravel,NA
2022-11-03,2022-10-11_R2_R_43,R2,FALSE,3,spring,TRUE,98,185,23,29,NA,fine sand,fine sand,very fine gravel,NA
2022-10-11,2022-10-11_R2_R_44,R2,FALSE,2,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,NA,NA
2022-11-03,2022-10-11_R2_R_44,R2,FALSE,3,spring,NA,NA,NA,NA,NA,NA,very fine gravel,very fine gravel,NA,NA
2022-10-11,2022-10-11_R2_R_45,R2,FALSE,2,spring,NA,NA,NA,NA,NA,NA,fine sand,very fine gravel,NA,NA
2022-11-03,2022-10-11_R2_R_45,R2,FALSE,3,spring,NA,NA,NA,NA,NA,NA,fine sand,very fine gravel,NA,NA
2022-10-11,2022-10-11_R2_R_46,R2,FALSE,2,spring,NA,NA,NA,NA,NA,NA,NA,very coarse sand,NA,NA
2022-11-03,2022-10-11_R2_R_46,R2,FALSE,3,spring,NA,NA,NA,NA,NA,NA,NA,very coarse sand,NA,NA
2022-10-11,2022-10-11_R2_R_47,R2,FALSE,2,spring,TRUE,83,120,27,39,NA,very coarse sand,very coarse sand,NA,NA
