year,total_annual_redd_count,number_reaches_surveyed,reach_numbers,include_modeling
2001,33,7,R1 & R2 & R3 & R4 & R5 & R6 & R7,TRUE
2002,78,7,R1 & R2 & R3 & R4 & R5 & R6 & R7,TRUE
2003,172,7,R1 & R2 & R3 & R4 & R5 & R6 & R7,TRUE
2004,52,7,R1 & R2 & R3 & R4 & R5 & R6 & R7,TRUE
2005,47,7,R1 & R2 & R3 & R4 & R5 & R6 & R7,TRUE
2006,122,7,R1 & R2 & R3 & R4 & R5 & R6 & R7,TRUE
2007,132,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2008,40,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2009,88,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2010,93,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2011,66,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2012,320,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2013,119,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2014,99,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2015,28,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2016,52,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2017,5,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2018,29,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2019,30,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2020,72,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2021,62,6,R1 & R2 & R3 & R4 & R5 & R6,TRUE
2022,28,6,R1B & R2 & R3 & R4 & R5 & R6,TRUE
2023,3,6,R1B & R2 & R3 & R4 & R5 & R6,TRUE
2024,13,6,R1B & R2 & R3 & R4 & R5 & R6,TRUE
