year,passage_estimate,run,adipose_clipped
1995,66,spring,FALSE
1996,35,spring,FALSE
1997,107,spring,FALSE
1998,178,spring,FALSE
1999,73,spring,FALSE
2000,78,spring,FALSE
2001,111,spring,FALSE
2002,222,spring,FALSE
2003,221,spring,FALSE
2004,90,spring,FALSE
2005,73,spring,FALSE
2006,221,spring,FALSE
2007,291,spring,FALSE
2008,105,spring,FALSE
2009,194,spring,FALSE
2010,174,spring,FALSE
2011,159,spring,FALSE
2012,799,spring,FALSE
2013,608,spring,FALSE
2014,429,spring,FALSE
2015,181,spring,FALSE
2016,180,spring,FALSE
2017,30,spring,FALSE
2018,82,spring,FALSE
2019,47,spring,FALSE
2020,47,spring,FALSE
2021,233,spring,FALSE
2022,152,not recorded,NA
2023,7,not recorded,NA
2024,30,not recorded,NA
